clade_name	ERR479038.txt_reads_count	ERR479147.txt_reads_count	ERR479310.txt_reads_count	ERR479277.txt_reads_count	ERR479055.txt_reads_count	ERR479308.txt_reads_count	ERR479309.txt_reads_count	ERR479010.txt_reads_count	ERR479223.txt_reads_count	ERR479178.txt_reads_count	ERR479148.txt_reads_count	ERR479318.txt_reads_count	ERR479221.txt_reads_count	ERR479357.txt_reads_count	ERR479243.txt_reads_count	ERR479278.txt_reads_count	ERR479026.txt_reads_count	ERR479127.txt_reads_count	ERR479083.txt_reads_count	ERR479246.txt_reads_count	ERR479253.txt_reads_count	ERR479194.txt_reads_count	ERR479077.txt_reads_count	ERR479139.txt_reads_count	ERR479276.txt_reads_count	ERR479066.txt_reads_count	ERR479255.txt_reads_count	ERR479247.txt_reads_count	ERR479390.txt_reads_count	ERR479285.txt_reads_count	ERR479028.txt_reads_count	ERR479219.txt_reads_count	ERR479252.txt_reads_count	ERR479417.txt_reads_count	ERR479302.txt_reads_count	ERR479356.txt_reads_count	ERR479138.txt_reads_count	ERR479311.txt_reads_count	ERR479358.txt_reads_count	ERR479222.txt_reads_count	ERR479113.txt_reads_count	ERR479256.txt_reads_count	ERR479354.txt_reads_count	ERR479193.txt_reads_count	ERR478985.txt_reads_count	ERR479416.txt_reads_count	ERR479199.txt_reads_count	ERR479149.txt_reads_count	ERR479053.txt_reads_count	ERR479054.txt_reads_count	ERR479292.txt_reads_count	ERR479332.txt_reads_count	ERR479359.txt_reads_count	ERR479032.txt_reads_count	ERR479258.txt_reads_count	ERR479348.txt_reads_count	ERR479031.txt_reads_count	ERR479125.txt_reads_count	ERR479361.txt_reads_count	ERR479237.txt_reads_count	ERR479331.txt_reads_count	ERR479351.txt_reads_count	ERR479284.txt_reads_count	ERR479025.txt_reads_count	ERR479334.txt_reads_count	ERR479112.txt_reads_count	ERR479180.txt_reads_count	ERR479303.txt_reads_count	ERR479116.txt_reads_count	ERR479065.txt_reads_count	ERR479024.txt_reads_count	ERR479353.txt_reads_count	ERR479126.txt_reads_count	ERR479177.txt_reads_count	ERR479254.txt_reads_count	ERR479352.txt_reads_count	ERR479111.txt_reads_count	ERR479200.txt_reads_count	ERR479173.txt_reads_count	ERR479245.txt_reads_count	ERR478969.txt_reads_count	ERR479030.txt_reads_count	ERR479360.txt_reads_count	ERR479291.txt_reads_count	ERR479220.txt_reads_count	ERR479333.txt_reads_count	ERR479349.txt_reads_count	ERR479174.txt_reads_count	ERR479248.txt_reads_count	ERR479415.txt_reads_count	ERR479037.txt_reads_count	ERR479146.txt_reads_count	ERR479236.txt_reads_count	ERR479389.txt_reads_count	ERR479418.txt_reads_count	ERR479114.txt_reads_count	ERR478984.txt_reads_count	ERR479317.txt_reads_count	ERR479078.txt_reads_count	ERR479029.txt_reads_count	ERR479124.txt_reads_count	ERR479244.txt_reads_count	ERR479176.txt_reads_count	ERR479011.txt_reads_count	ERR479027.txt_reads_count	ERR479350.txt_reads_count	ERR479257.txt_reads_count	ERR479179.txt_reads_count	ERR479117.txt_reads_count	ERR479355.txt_reads_count	ERR479279.txt_reads_count	ERR479290.txt_reads_count	ERR479251.txt_reads_count	ERR479293.txt_reads_count	ERR479056.txt_reads_count	ERR479084.txt_reads_count	ERR479316.txt_reads_count	ERR479224.txt_reads_count	ERR479115.txt_reads_count	ERR479235.txt_reads_count
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	924836.0	340310.0						1272794.0	49164.0	96518.0	417006.0				2344.0							128864.0		456702.0		54038.0			71006.0	6472738.0							473420.0				73274.0		3294982.0	143926.0	63456.0	699362.0	267404.0	471150.0				1793538.0	636.0						3152.0	131190.0	1764060.0	5750.0	6610744.0		1766976.0	77844.0	94140.0			59630.0		3251522.0		102296.0	1807010.0	8354.0	81058.0	295466.0	1256782.0		28652.0		112.0			1633536.0		1672870.0		702202.0	1125042.0	296386.0	205090.0	78906.0		80514.0	65288.0					1138.0		1376876.0				95158.0										50308.0		206332.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	1212668.0	2334688.0		931794.0				90490.0	87410.0	1950.0		24498.0	385920.0	4688.0	2950256.0	1001438.0		256894.0			277080.0	301446.0	154724.0	160122.0	1019064.0				388010.0	2192050.0		413606.0	431362.0	48632.0	1647198.0		165600.0		3018.0	397018.0	251806.0			344710.0			1350762.0					163426.0	9288.0	238830.0		70448.0	217612.0	224770.0	22652.0	177242.0	165264.0	500996.0	2240286.0		165088.0	278674.0	4174.0	1714180.0	22824.0				230664.0	4832.0	27564.0	696758.0	272208.0	1397036.0			25538.0	252272.0	6794.0		363592.0	150778.0	71236.0				1471216.0	2036950.0	284314.0	387106.0	60338.0	276696.0		6516.0	156092.0	235806.0	259864.0	2614312.0	335284.0	89164.0		230224.0		2786.0	84638.0		980574.0		441988.0				5600.0	83082.0	26276.0	291108.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_heparinolyticus	758.0																																																																																										58.0																													
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	210278.0							300758.0	138580.0			4948.0		22802.0			10548.0																						24210.0		427082.0												399288.0						832386.0					22016.0		462852.0					21616.0						486098.0				74020.0		449288.0								230344.0					459860.0		1600.0						359516.0	8576.0													130336.0		
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	191816.0	1516868.0	107126.0		44250.0	101936.0	93784.0	16068.0	515124.0	157918.0	157012.0	3526.0		12898.0	142558.0		10438.0			1960.0	22260.0	156626.0	335878.0				76874.0	2162.0	145850.0	13938.0			21516.0	59326.0		632.0		109224.0	10790.0		3932.0	61288.0	4317106.0	174826.0	134208.0		271600.0	184290.0	35228.0	36232.0	862418.0	12908.0	536.0	1668.0	70300.0	568260.0	808.0			103970.0	9964.0		5050.0	24682.0	17270.0	10010.0	181772.0		517158.0		28854.0	4379622.0		163902.0	1683748.0		3002.0	297126.0	1144606.0		27944.0	2838.0	1996.0	829014.0		14538.0	630136.0	1569290.0	1732.0		250302.0	1267334.0	162102.0	173584.0	84566.0	5330.0	133038.0	238.0	337106.0	2376.0		134650.0	764696.0	21440.0	7110.0	1681942.0	79126.0	180776.0	1519352.0			942572.0	19106.0	891434.0	50280.0		240.0	539260.0	511400.0	165006.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	684758.0				1046.0					50042.0					31330.0			50860.0			65530.0								668640.0	605356.0			95894.0								627908.0		555288.0															46082.0					606190.0			691020.0	51030.0					568316.0	54876.0	54998.0	172698.0		701222.0														826048.0			660596.0		684352.0					48886.0	27122.0						45702.0					102540.0		1566.0					
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	1729210.0			17360.0	65120.0				109882.0	172240.0		26258.0				15220.0				614.0	51954.0			3932.0	17114.0		325194.0	160.0	778050.0				78012.0				3092.0					276946.0				536280.0			38320.0	35516.0	82.0		118730.0		293630.0				284964.0	3738.0							176268.0		7640.0					194462.0						852.0			137728.0						80.0	563882.0	2109630.0		2242.0	765814.0				9290.0						414.0			292332.0	185188.0	32606.0		19062.0		80546.0	166.0	66782.0		8356.0	109260.0	10318.0	2736.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	514852.0		366808.0		970.0	388238.0	383212.0	72562.0	16500.0	45900.0		16444.0	150764.0	2270.0	77472.0		4582.0	74606.0	5952434.0		30242.0	226356.0	748068.0	110014.0		19352.0	37676.0		847742.0	1586.0		145648.0	42754.0	341088.0	8333436.0	157892.0	120192.0	393684.0	1552.0	163214.0	55320.0	31946.0	2401154.0	270234.0	67758.0	1072264.0	1004160.0		3696.0	4730.0	2207588.0	365916.0	287512.0	63226.0	36420.0	32460.0	53660.0	66966.0	626750.0	144558.0	347876.0	27182.0	2422.0	15236.0	373802.0	66016.0	48598.0	8559354.0	23134.0	20576.0	13786.0	2306360.0	68350.0	50864.0	315390.0	44350.0	62090.0	1086488.0			101376.0	67360.0	315974.0	2108284.0	136088.0	322568.0	39600.0			1084320.0	636608.0		226944.0	844134.0	459184.0	65224.0	72262.0	6278.0	731292.0	56380.0	74000.0	73650.0		72322.0	2578.0	133422.0	32532.0	46330.0	73826.0	147172.0		2387216.0	43662.0	2270604.0	268.0	5880104.0	5056.0	13732.0	28612.0	221822.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	5578782.0	2142658.0	330752.0	9110.0	426444.0	345958.0	348946.0	2840532.0	204644.0	752256.0	1097706.0	71678.0	2822128.0	108008.0	88470.0	14042.0	3726.0	47068.0	18851426.0	4530.0	69084.0	435602.0	735752.0	296308.0	11486.0	86908.0	100374.0	5858.0	3181984.0	13858444.0		2954548.0	102030.0	1415132.0	686.0	2556684.0	314928.0	365342.0	69402.0	2875940.0	488006.0	95942.0	2312162.0	487860.0	91582.0	830084.0	745756.0	1295642.0	370328.0	317862.0	2102.0	111744.0	319538.0	73380.0	109694.0	1380886.0	59704.0	38368.0	743478.0	445168.0	114860.0	17940.0	13766928.0	6818.0	130490.0	550510.0	788228.0	350.0	8792.0	96452.0	7180.0	2236060.0	44712.0	840158.0	3116888.0	25736.0	523126.0	762936.0	1985258.0	874.0	356316.0	66954.0	362976.0	2926.0	2674438.0	102314.0	1450112.0	2744262.0	2776.0	908278.0	6874732.0	1904088.0	648592.0	3176402.0	1865328.0	575892.0	99650.0	31792.0	668192.0	69898.0	53878.0	75694.0	815916.0	3193592.0	3090.0	4679366.0	105686.0	804094.0	15598.0	2646842.0	12862.0	3172.0	116328.0	3382.0	411916.0	18714892.0	28410.0	202662.0	3966.0	711530.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	1514.0	2778.0	1212.0					25940.0			8566.0	6306.0	912528.0	3730.0				42812.0	536754.0				3216.0	171210.0		36086.0	1866.0		249678.0	25820.0		909804.0		8932.0		26310.0	179232.0		4288.0	871762.0	52344.0	634.0	5762356.0			156844.0		14516.0				5210.0	18022.0	19492.0	6502.0	370632.0	19840.0	34550.0	39666.0	3894.0	11050.0	19498.0	32170.0		7898.0	55272.0			1238.0	35340.0	920.0	5450438.0	38432.0			33716.0	36330.0				7070.0	19666.0	20294.0		876162.0	4250.0	389250.0			132726.0	2854.0	2320.0	6258.0	267612.0	1458.0	49298.0	4128.0	1286.0		21736.0	41700.0		124698.0	17916.0		1097478.0	3870.0		8602.0	20936.0						524988.0	450.0		1194.0	9850.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	1614276.0		21358.0		215782.0	16386.0	20150.0	10848.0			206078.0	267452.0			88326.0			327130.0	3914346.0	13754.0			688082.0	111872.0		101938.0	28168.0	13506.0	642402.0					52156.0		141114.0	120820.0	18780.0			509080.0	22580.0	4356326.0		429630.0	8796.0		236686.0	91912.0	76352.0	2702320.0	1033788.0	4012.0		30528.0	2684.0		295602.0		268552.0	1032016.0				1032162.0	569550.0		318.0	11624.0	103970.0		4324244.0	313326.0		399490.0		560680.0			9500.0	12092.0		6104.0	2602042.0		950344.0	3496.0		13120.0	8820.0	1954522.0	200.0	391848.0	623734.0	72436.0	562914.0	426010.0	113394.0	766680.0		338946.0	76138.0	1802268.0	14966.0			31494.0		34674.0	152092.0		2800932.0	3524.0	2736498.0	216656.0	3994870.0	115148.0		4152.0	409432.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_plebeius	144968.0			884.0	19010.0										44800.0	1806.0		8202.0		24100.0			414442.0	265196.0	2014.0			32098.0	205222.0							78408.0	300888.0										929072.0		16568.0	14620.0	5486.0			10046.0			7730.0	4846.0				57646.0							45588.0				6834.0		8946630.0	90468.0		970170.0		22812.0		7468.0		3970.0					37148.0		186606.0			219906.0					387896.0	7508.0	6982.0	41586.0							145812.0	82036.0	1922.0	5220.0		5232.0	16664.0				46708.0	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	20254.0		37368.0		40510.0	47514.0	45682.0	213148.0	102388.0		122502.0	14850.0	155326.0	4464.0				62212.0	1550498.0	3734.0	41154.0	87696.0	40016.0	155436.0		18354.0	57944.0	722.0	13402.0	719044.0		161164.0	56162.0	154030.0		299392.0	170384.0	44008.0	4338.0	145628.0	22496.0	50576.0		104596.0	59016.0	122592.0	100936.0	144828.0	29824.0	25242.0		155686.0		323276.0	54134.0	70414.0	275100.0	56846.0		109272.0	150206.0		720872.0		156386.0	28626.0			4428.0	19144.0			61272.0		792632.0		31286.0	104710.0		2320.0	77954.0	319380.0			139726.0	143440.0	70352.0		2130.0	117920.0	27526.0		173218.0	12732.0	201390.0	30488.0	52992.0	5272.0	43816.0	303272.0	65370.0			237646.0		225506.0	51818.0		22674.0	307416.0			56432.0		38952.0	1529104.0	4344.0	101252.0	3726.0	174640.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_faecihominis	60240.0				31968.0				40934.0				50268.0					5318.0			8282.0					786.0	5782.0		209228.0			53710.0	13276.0	25842.0		37120.0				46772.0	402.0	5504.0			4318.0				1228.0	822.0		2588.0		17356.0	5876.0	424.0	14740.0	4644.0			3224.0				5090.0					3134.0			4632.0		66922.0		418.0					17902.0			49344.0	2390.0	332.0				80790.0			213330.0	36274.0	1144.0	3216.0			19614.0	6238.0					13110.0	6018.0			37506.0			14282.0		40844.0			36736.0		1114.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_paravirosa	26390.0	4208.0			3152.0							3836.0	128118.0						1104794.0			178.0										129520.0		89420.0						127660.0	6514.0		119854.0	2196.0			15330.0					47768.0		22710.0		916.0	20282.0				42234.0				45162.0	7694.0						122414.0					6990.0	15698.0	30334.0			22434.0			119226.0	41706.0	614.0	43470.0			32144.0	2526.0			110658.0	7952.0				24474.0						9394.0									5292.0	1114036.0				
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	75334.0		30546.0		14048.0	33690.0	36554.0	21090.0	198790.0	40570.0	284466.0	35634.0	176528.0		32650.0			267342.0			25460.0	36392.0	335154.0	243086.0		52576.0	49952.0		1005970.0	338940.0		185148.0	38920.0	79318.0	2373520.0	82316.0	254894.0	36102.0		182646.0	147578.0	43434.0		40304.0	19952.0	101334.0	155174.0	305366.0	6354.0	6246.0		191292.0	73222.0	79014.0	50506.0	7140.0	61862.0	246750.0	153642.0	73626.0	192672.0	297298.0	329086.0		197908.0	167588.0	39672.0	2419820.0		55370.0			258668.0	39944.0	428170.0	409736.0	162224.0	166814.0	513416.0		48404.0	80244.0	77460.0		171024.0	186688.0	7250.0	694820.0		94910.0	84152.0		119664.0	996160.0	105800.0	165200.0	18614.0	14114.0	309746.0	78562.0	286652.0	31232.0		26390.0		28178.0	44914.0	45116.0	408.0	80602.0			42122.0		10344.0		12340.0	198144.0		122994.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	4328.0																	27588.0																																		32220.0						26932.0			34062.0				34770.0								26856.0													29834.0					4494.0										26760.0																			
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1484	420.0																																																																																										848.0																													
