"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"31",114780,0,0,0,0,0,0,0,0,0,0,3460,2894,0,1008,0,0,0,4372,0,398,0,0,184,0,0,980,0,0,4590,0,0,0,8472,4172
"32",0,0,0,1652,3564,0,2578,0,0,0,0,0,0,0,0,0,0,0,5586,4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,13496,0,0,0,0,870,0,0,0,0,0,0,4880,3084,0,1956,0,0,0,0,0,3482,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,2156,0,6430,0,0,0,0,0,706,0,18546,21430,12238,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,399534,0,0,196292,0,0,0,0,1047232,0,0,0,808699.999999999,0,0,3313360,0,77292,0,0,0,20842,555612,111104,0,580112.000000001,907400,66074.0000000001,127914,12704,0
"36",0,18598,0,4066,0,0,0,0,0,34092,0,0,0,0,18244,0,0,5818,0,19582,18514,58,0,0,27476,0,1080,24608,0,0,0,0,0,0,6172
"37",0,0,0,2248,0,13022,0,3586,2644,0,0,10146,3534,2740,700,0,0,1682,0,0,0,0,0,0,0,0,0,0,0,0,11988,0,5200,0,0
"38",75612,420,0,177446,241890,0,0,0,0,0,0,0,0,0,300588,0,2074,0,0,0,0,0,0,0,0,3040,138802,0,0,0,0,0,120780,0,0
"39",0,0,0,0,4394,0,0,0,0,0,22530,0,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10880,0,0,0,0,0
"40",0,41046,0,0,0,3646,0,0,0,0,0,0,0,4130,0,0,0,131908,0,0,0,0,0,0,0,135476,0,512932,480218,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,129828,0,0,0,0,0,0,0,185474,0,95576,0,0,37188,0,0,0,0,0,0,20346,0,14946,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,11978,0,0,0,0,0,0,7466,0,12750,20332,0,0,39086,0,0
"43",0,21916,0,47816,0,0,0,2298,0,0,0,0,6216,41474,22090,31006,14148,33320,3032,9888,4508,29184,0,0,13418,0,6612,8852,12452,8690,8930,0,16522,17878,1066
"44",0,0,0,0,0,0,0,0,4548,0,0,0,0,0,0,0,0,246,0,244,0,0,0,0,0,0,0,0,21412,6958,0,0,0,0,5390
"45",344984,71841.9999999999,0,406,240704,0,875912,8224,77456.0000000001,127628,28420,24316,131144,13218,1616,0,0,0,56792,2233694,16390,5852,233876,32628,753656.000000001,775294,256166,1326,147398,4378,2082,2348,2134,1653912,0
"46",0,0,10170,0,50940,4442,0,0,0,0,150326,13702,51038,55482.0000000001,8232,4698,2310,1292,0,0,0,351606,159080,149252,2848,33950,0,51004,5680,0,8536,976,0,61640,19344
"47",0,28152,0,0,2958,0,0,0,0,27334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13508,0,23466,0,24444,0,0,0
"48",0,0,321164,0,0,0,0,31978,0,0,0,0,0,24536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,2016,0,0,0,0,0,73414,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,13324,17448,0,0,0,0
"50",0,0,0,0,3622,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,8238,0,0,0,930,0,11280,90,0,0,0,0,0,0,0
"51",0,19620,0,0,38418,0,0,22004,0,0,0,0,0,47780,1752,734,0,0,0,0,3180,28898,0,0,0,0,0,0,0,0,0,3344,0,0,4050
"52",0,0,0,0,0,0,0,8592,22782,0,0,0,0,0,0,0,0,5870,5504,0,8580,0,0,436,0,0,5392,0,0,0,0,0,0,9798,0
"53",0,0,0,0,2296,0,0,0,220,826,0,0,0,0,866,0,0,12520,0,1450,0,0,0,0,0,1534,1182,36910,0,0,0,832,0,0,0
"54",0,0,0,0,0,0,1298,12860,0,0,0,1264,0,0,58838,0,22044,0,0,448,1876,616,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,2536,0,0,0,0,0,0,0,0,0,0,0,37162,0,0,0,0,0,0,0,0,0,0,0,0,0,67731.9999999999,90692,0,0,0,0,0,88240
"56",0,11132,0,0,0,1056,0,2090,0,0,5270,0,0,0,0,0,0,0,0,0,2118,0,0,0,0,0,0,0,0,0,1164,0,0,0,0
