clade_name	ERR479190.txt_reads_count	ERR479384.txt_reads_count	ERR479182.txt_reads_count	ERR479306.txt_reads_count	ERR479136.txt_reads_count	ERR479098.txt_reads_count	ERR479202.txt_reads_count	ERR479382.txt_reads_count	ERR479070.txt_reads_count	ERR479227.txt_reads_count	ERR479013.txt_reads_count	ERR479233.txt_reads_count	ERR479330.txt_reads_count	ERR479383.txt_reads_count	ERR479301.txt_reads_count	ERR479088.txt_reads_count	ERR479327.txt_reads_count	ERR479232.txt_reads_count	ERR479106.txt_reads_count	ERR479161.txt_reads_count	ERR479104.txt_reads_count	ERR479007.txt_reads_count	ERR479344.txt_reads_count	ERR479086.txt_reads_count	ERR479208.txt_reads_count	ERR479085.txt_reads_count	ERR479006.txt_reads_count	ERR479122.txt_reads_count	ERR479307.txt_reads_count	ERR479281.txt_reads_count	ERR479304.txt_reads_count	ERR479364.txt_reads_count	ERR479299.txt_reads_count	ERR479075.txt_reads_count	ERR479191.txt_reads_count	ERR479207.txt_reads_count	ERR479347.txt_reads_count	ERR479189.txt_reads_count	ERR479181.txt_reads_count	ERR479076.txt_reads_count	ERR479239.txt_reads_count	ERR479067.txt_reads_count	ERR479162.txt_reads_count	ERR479230.txt_reads_count	ERR479069.txt_reads_count	ERR479008.txt_reads_count	ERR479343.txt_reads_count	ERR479238.txt_reads_count	ERR479280.txt_reads_count	ERR479218.txt_reads_count	ERR479362.txt_reads_count	ERR479363.txt_reads_count	ERR479282.txt_reads_count	ERR479187.txt_reads_count	ERR479009.txt_reads_count	ERR479228.txt_reads_count	ERR479298.txt_reads_count	ERR479231.txt_reads_count	ERR479300.txt_reads_count	ERR479240.txt_reads_count	ERR479103.txt_reads_count	ERR479229.txt_reads_count	ERR479068.txt_reads_count	ERR479217.txt_reads_count	ERR479386.txt_reads_count	ERR479097.txt_reads_count	ERR479012.txt_reads_count	ERR479385.txt_reads_count	ERR479105.txt_reads_count	ERR479250.txt_reads_count	ERR479345.txt_reads_count	ERR479188.txt_reads_count	ERR479089.txt_reads_count	ERR479234.txt_reads_count	ERR479137.txt_reads_count	ERR479365.txt_reads_count	ERR479192.txt_reads_count	ERR479283.txt_reads_count	ERR479249.txt_reads_count	ERR478999.txt_reads_count	ERR479087.txt_reads_count	ERR479328.txt_reads_count	ERR479058.txt_reads_count	ERR479305.txt_reads_count	ERR479346.txt_reads_count	ERR479164.txt_reads_count	ERR479090.txt_reads_count	ERR479163.txt_reads_count	ERR479201.txt_reads_count	ERR479057.txt_reads_count	ERR479123.txt_reads_count	ERR479329.txt_reads_count
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_callidus	1016.0					185468.0													70424.0		42730.0	37144.0	14984.0		16536.0		38464.0							118770.0		16790.0	274010.0			122252.0						42736.0	17264.0	12388.0		55644.0					38526.0		47714.0			9174.0	40100.0			61174.0		192944.0			79384.0	190288.0	86250.0						518.0		147446.0	11368.0					292160.0							
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_champanellensis	17190.0																		11636.0																656.0																						14664.0												12472.0								13434.0															
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF41_9	780.0		6040.0	6234.0							4906.0	3880.0						3610.0				35782.0			17500.0		36968.0	8780.0	5750.0	6562.0	6932.0	1386.0				18962.0			6110.0							36090.0		188.0	6510.0		960.0	1308.0	5394.0		37032.0			4786.0									4194.0							4314.0		1838.0	524.0	5424.0						6832.0							7062.0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_BSD2780120874_150323_B10	624.0					4343180.0						962208.0			16980.0	13684.0		929454.0	3651280.0		1534992.0	211462.0	108726.0	1784.0		1100.0	229032.0	2241402.0		1687456.0		1119592.0	13112.0	2252218.0				773132.0		2360388.0			2332.0			218188.0	121338.0		1690046.0		1196364.0	1059128.0	1712744.0	1234220.0	221700.0			1007430.0	8422.0		1504426.0					4332866.0			4007290.0	1272900.0	391538.0	1231372.0	14306.0	962558.0		1155694.0	742.0	1664594.0	1008392.0							834.0	70144.0	562.0			1930734.0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_NSJ_13	9170.0				16840.0			4552.0						9400.0	4292.0				1224.0			35108.0					36538.0						6750.0						1832.0				381610.0			36592.0									31562.0				5188.0										7326.0						17368.0		8276.0									217860.0		334520.0				
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_SGB15087	1394.0																		174.0																																																		346.0								1524.0						3642.0							7146.0		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_fastidiosa	3262.0				19348.0	94106.0											41266.0																																								92968.0									95568.0									12404.0		2060.0					42526.0										
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	14278.0			1138.0					26338.0	156.0					16438.0		10636.0				98366.0							25030.0		26418.0		1170.0	14838.0					3008.0				19712.0		158.0	31074.0				22562.0	115488.0	464.0		26620.0	4574.0			23618.0		12078.0		91750.0		27176.0	120572.0						148358.0		5470.0					15084.0	26154.0	122444.0	5036.0		15326.0	522.0	1242.0						1500.0	21918.0	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis	4228.0	24688.0		9974.0					14492.0	546.0		6322.0						5894.0	19472.0	50862.0	14364.0	5340.0					5850.0	21468.0	6888.0	2894.0	8812.0			3692.0			63916.0			3328.0		10378.0		2112.0	10652.0	4972.0			2786.0	42800.0			592.0		6170.0	610.0	37636.0	5454.0			15764.0	1062.0	14654.0	37256.0	17808.0			23364.0	24632.0					7014.0			1562.0	3322.0					7942.0	13138.0	60248.0					9484.0	20586.0	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	6372.0									40036.0		5330.0						4204.0												9912.0				141768.0						144724.0				36618.0					10068.0	68424.0			12368.0			33328.0		3772.0				32022.0		70664.0										4842.0			4230.0	12836.0														
