clade_name	ERR479322.txt_reads_count	ERR479324.txt_reads_count	ERR479392.txt_reads_count	ERR479150.txt_reads_count	ERR479158.txt_reads_count	ERR479268.txt_reads_count	ERR478996.txt_reads_count	ERR479052.txt_reads_count	ERR479404.txt_reads_count	ERR479321.txt_reads_count	ERR479205.txt_reads_count	ERR479195.txt_reads_count	ERR479325.txt_reads_count	ERR479393.txt_reads_count	ERR478974.txt_reads_count	ERR479082.txt_reads_count	ERR479102.txt_reads_count	ERR479326.txt_reads_count	ERR478992.txt_reads_count	ERR479034.txt_reads_count	ERR479033.txt_reads_count	ERR479381.txt_reads_count	ERR479288.txt_reads_count	ERR479064.txt_reads_count	ERR479408.txt_reads_count	ERR479265.txt_reads_count	ERR479129.txt_reads_count	ERR479203.txt_reads_count	ERR479130.txt_reads_count	ERR479413.txt_reads_count	ERR479287.txt_reads_count	ERR479297.txt_reads_count	ERR478964.txt_reads_count	ERR479206.txt_reads_count	ERR479204.txt_reads_count	ERR478975.txt_reads_count	ERR479323.txt_reads_count	ERR479414.txt_reads_count	ERR479091.txt_reads_count	ERR479379.txt_reads_count	ERR478960.txt_reads_count	ERR478997.txt_reads_count	ERR478990.txt_reads_count	ERR479263.txt_reads_count	ERR479109.txt_reads_count	ERR479017.txt_reads_count	ERR479394.txt_reads_count	ERR479272.txt_reads_count	ERR479159.txt_reads_count	ERR479003.txt_reads_count	ERR479016.txt_reads_count	ERR479045.txt_reads_count	ERR478959.txt_reads_count	ERR479289.txt_reads_count	ERR479264.txt_reads_count	ERR478962.txt_reads_count	ERR479341.txt_reads_count	ERR479267.txt_reads_count	ERR479134.txt_reads_count	ERR479157.txt_reads_count	ERR479000.txt_reads_count	ERR479401.txt_reads_count	ERR479110.txt_reads_count	ERR479274.txt_reads_count	ERR479378.txt_reads_count	ERR479275.txt_reads_count	ERR479063.txt_reads_count	ERR479197.txt_reads_count	ERR479099.txt_reads_count	ERR479043.txt_reads_count	ERR479286.txt_reads_count	ERR479296.txt_reads_count	ERR479198.txt_reads_count	ERR479342.txt_reads_count	ERR479294.txt_reads_count	ERR479131.txt_reads_count	ERR479135.txt_reads_count	ERR479196.txt_reads_count	ERR479133.txt_reads_count	ERR479081.txt_reads_count	ERR479014.txt_reads_count	ERR479079.txt_reads_count	ERR479015.txt_reads_count	ERR479035.txt_reads_count	ERR478995.txt_reads_count	ERR479167.txt_reads_count	ERR478965.txt_reads_count	ERR479271.txt_reads_count	ERR478966.txt_reads_count	ERR479269.txt_reads_count	ERR479403.txt_reads_count	ERR479152.txt_reads_count	ERR479036.txt_reads_count	ERR479080.txt_reads_count	ERR479168.txt_reads_count	ERR479108.txt_reads_count	ERR479339.txt_reads_count	ERR478991.txt_reads_count	ERR479391.txt_reads_count	ERR479047.txt_reads_count	ERR479320.txt_reads_count	ERR478961.txt_reads_count	ERR478958.txt_reads_count	ERR479107.txt_reads_count	ERR479048.txt_reads_count	ERR479092.txt_reads_count	ERR479319.txt_reads_count	ERR479041.txt_reads_count	ERR479001.txt_reads_count	ERR479160.txt_reads_count	ERR479046.txt_reads_count	ERR478963.txt_reads_count	ERR479101.txt_reads_count	ERR479405.txt_reads_count	ERR479340.txt_reads_count	ERR479402.txt_reads_count	ERR479380.txt_reads_count	ERR479407.txt_reads_count	ERR479050.txt_reads_count	ERR479270.txt_reads_count	ERR479295.txt_reads_count	ERR479002.txt_reads_count	ERR479273.txt_reads_count	ERR479132.txt_reads_count	ERR479042.txt_reads_count	ERR479153.txt_reads_count	ERR479128.txt_reads_count	ERR479051.txt_reads_count	ERR478967.txt_reads_count	ERR479406.txt_reads_count	ERR479100.txt_reads_count	ERR479266.txt_reads_count	ERR478993.txt_reads_count	ERR479049.txt_reads_count	ERR479044.txt_reads_count
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822|g__GGB42994|s__GGB42994_SGB4746	12284.0	10880.0	49150.0							12248.0			1218.0				1670.0	2294.0	696.0																		12536.0							464.0												5324.0																																										922.0	47026.0													3070.0	1278.0																				1466.0		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia|s__Candidatus_Borkfalkia_ceftriaxoniphila	1008.0	1524.0								930.0	968.0																	1560.0						672.0	370.0													8730.0																						7082.0											190.0							11154.0																																11314.0			13388.0												6912.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Alangreenwoodia|s__Candidatus_Alangreenwoodia_gallinarii	2730.0	2938.0								2088.0																											2592.0													10292.0											10004.0																																																8946.0													9746.0													
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Avimonas|s__Candidatus_Avimonas_narfia	128.0	566.0								700.0						2222.0			13350.0								1682.0		1670.0								430.0				3586.0		13448.0										2754.0											250.0						5200.0						2140.0				3066.0		2644.0												2560.0				11032.0				3446.0	3534.0																								2934.0						13022.0		3738.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neoanaerotignum|s__Candidatus_Neoanaerotignum_tabaqchaliae	2718.0	2866.0								3252.0																											3004.0																																																																																																		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium_UC5_1_1E11	36126.0	36080.0								42726.0	44040.0		28640.0					38214.0							588.0			47332.0						44888.0	41830.0		40436.0									1628.0					3808.0																														994.0		3190.0																																			910.0												502.0					
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363|s__GGB3363_SGB4447	129386.0	120780.0	43430.0							127994.0			49608.0		259854.0			55160.0	49254.0																	241890.0	138802.0						51270.0																																											3040.0									664.0			46566.0	39310.0																																		48372.0		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	9172.0	9706.0			65384.0		3060.0	12520.0		9402.0	49334.0		17204.0		20174.0			25346.0	6580.0	5454.0	6720.0	880.0	2526.0	5376.0	10786.0	4302.0	250.0	50400.0	508.0		2412.0	2286.0		49230.0	46796.0	19584.0	7388.0			1350.0	6510.0	2830.0	5662.0	5204.0	2386.0	38018.0		2210.0	57132.0		39994.0	124.0	5186.0	2716.0	7640.0			1896.0		58132.0			2308.0		432.0	320.0	4394.0		9070.0	8470.0	2378.0	2470.0			1572.0						42292.0		36714.0	6682.0	2926.0			3764.0		318.0			7246.0			734.0	62.0	5896.0		64.0	1170.0	8586.0	8866.0	2044.0	792.0		746.0			65832.0	1308.0			10324.0			1050.0	10108.0	13290.0	2518.0	1622.0		2422.0					10880.0		11436.0	7686.0	5696.0	5504.0	11308.0	7164.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	304338.0	322304.0		224366.0						319774.0		512932.0		37498.0	182812.0	40948.0	205072.0					66460.0	437054.0	510712.0	480218.0					6908.0	445136.0	142786.0	36184.0			168230.0	331494.0	7228.0	9942.0	67598.0	656146.0				131908.0	175770.0	32596.0			1004330.0	183104.0	27790.0	691388.0	440846.0		3472.0	21826.0	12296.0	50814.0		1014748.0		130140.0	29184.0	74758.0	28474.0	357298.0	500006.0	38980.0	88802.0	428218.0	147430.0	486736.0	22302.0	146774.0		53456.0	486480.0	52624.0	41046.0	176778.0	43080.0	183148.0			11048.0	37252.0		34406.0	11056.0		219156.0		44662.0	7656.0	119086.0	4712.0			28092.0		688658.0	698014.0	135474.0	30764.0	6796.0	308.0	29260.0	998000.0		31596.0	3646.0	195750.0	492442.0	4082.0		68190.0	463166.0			145310.0	1002882.0		50686.0	40978.0	225656.0			36766.0	482682.0	35662.0				74376.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium	37202.0	35010.0		51448.0	35482.0		129828.0	46288.0	39774.0	40256.0	106850.0	187186.0	91082.0	17910.0	62496.0	312104.0	117040.0	112780.0	577392.0	127118.0	133134.0	14660.0	77254.0	299090.0	93486.0	83804.0	269732.0	107918.0	271430.0	88180.0	77474.0	56946.0	173250.0	110590.0	109420.0	56878.0	36906.0	86952.0	12702.0	12926.0	37188.0	125098.0	587022.0	85246.0	153362.0	35232.0	17192.0	115232.0	31782.0	76906.0	39830.0	37628.0	36640.0	78226.0	85944.0	49360.0		11576.0		32762.0	77216.0	43614.0	147442.0	27408.0	13450.0	29232.0	241662.0	187330.0		10828.0	79122.0	56586.0	179618.0		58486.0	264388.0	240.0	175674.0		315570.0	39284.0	315556.0	38056.0	137482.0	130104.0	16032.0	180736.0	124830.0	185474.0	11200.0	42646.0	53052.0	127922.0	316588.0	13210.0	144014.0	28834.0	576764.0		38770.0	36896.0	39274.0	41888.0	159092.0	37592.0	11846.0	47896.0	100654.0	75956.0	33994.0	34816.0	45510.0	115844.0	96738.0	23574.0	37006.0	14946.0	91050.0	43666.0	118130.0	57942.0	78236.0	123084.0		147776.0	55860.0	264256.0	47538.0	180974.0	95576.0		83552.0	587062.0	50468.0	9828.0
