clade_name,DRR127488,DRR127524,DRR127532,DRR127535,DRR127537,DRR127546,DRR127552,DRR127583,DRR127588,DRR127596,DRR127597,DRR127613,DRR127616,DRR127619,DRR127628,DRR127634,DRR127649,DRR127672,DRR127683,DRR127692,DRR127704,DRR127707,DRR127713,DRR127721,DRR127724,DRR127728,DRR127731,DRR127736,DRR127737,DRR127748,DRR127751,DRR127752,DRR127755,DRR127756,DRR127762,DRR127763,DRR127776,DRR127777,DRR162775,DRR162776,DRR127476,DRR127478,DRR127481,DRR127485,DRR127491,DRR127507,DRR127509,DRR127514,DRR127515,DRR127517,DRR127519,DRR127521,DRR127536,DRR127557,DRR127559,DRR127567,DRR127579,DRR127580,DRR127594,DRR127603,DRR127617,DRR127625,DRR127638,DRR127646,DRR127647,DRR127666,DRR127669,DRR127674,DRR127685,DRR127700,DRR127708,DRR127718,DRR127720,DRR127754,DRR127767,DRR127774,DRR127789,DRR162777,DRR162778,DRR162779
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_SGB14899,0,0,0,848,0,0,0,0,0,0,9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5852,0,0,0,0,0,0,0,0,0,0,0,0,0,38648,0,0,0,0,0,0,0,0,0,0,10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0,0,2188886,123428,0,0,0,1238890,0,16282,363388,437162,0,0,1493748,1830120,0,0,0,0,0,0,0,571536,0,0,0,0,936272,220776,0,530328,0,0,163874,370166,0,0,0,0,0,3170300,3625566,593134,132652,0,0,0,0,0,561504,2929506,4380986,555852,2238560,132456,0,0,1165528,0,286102,703732,2580826,0,0,125812,0,1811966,0,802176,0,0,0,246830,198818,919712,814220,1404714,453530,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,825324,1858,869446,2072,0,0,0,0,0,0,12880,23300,0,0,0,0,912452,0,0,0,0,894346,0,0,0,28640,0,0,0,0,0,124964,106730,0,1364384,59102,0,111132,0,440096,0,20444,19781410,0,0,0,34268,186160,4823710,1460154,0,0,0,0,16070,50050,0,0,1308,25958,0,0,0,171110,0,9374,2391484,0,0,215552,84748,0,2173362,7648,400576,0,21346,0,9684166,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0,17080,0,7506,0,0,0,0,0,0,0,5052,0,0,0,6099520,6012,0,0,0,0,0,0,429402,0,0,0,2685340,0,0,0,69708,0,0,0,0,0,0,1069908,0,0,0,0,0,265122,0,1960878,0,589562,1805334,0,0,2030106,3246268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,29208,0,0,8378,234734,1208618,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0,9308,0,3728,0,0,1595304,124270,0,0,0,0,0,0,1242108,0,0,1508744,0,26626,1260890,11921008,0,0,0,1921082,2977904,0,0,0,15660,1878724,368054,11978098,1010,0,0,49198,220068,1398612,0,0,0,42018,115096,6585648,2146,0,1180938,0,0,4271852,1612186,42776,0,3034662,0,0,28542,0,60168,0,157700,11990,1549004,20918,11441162,1017660,0,412582,0,0,0,416742,15780,0,0,859398,1436602,5796518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0,0,0,7460,0,0,0,0,0,0,24002,0,0,0,0,0,0,126870,0,327698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877800,0,0,0,1682,70050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42006,0,0,0,101790,0,5106880,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0,0,0,8866,0,0,0,0,0,0,0,25754,18064,0,349658,0,38738,0,0,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,20568,0,8138,0,0,520666,2244814,0,282630,0,0,0,0,203774,0,0,0,0,0,48214,156310,0,0,0,0,0,101510,0,13474,0,0,0,0,8078,4136214,0,0,818878,0,27462,504,184514,0,59378,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,145834,237508,0,244778,0,5061780,5104952,978036,0,0,239750,381516,0,0,3854858,1563224,73354,11307334,2528672,1246222,0,3806132,12722306,0,0,1269012,11517254,0,70240,826880,0,103416,0,626050,170038,536998,780024,463972,593788,35030,1205556,89774,0,1204480,227946,9799198,263064,89730,1452236,132186,1215516,1334468,120996,509508,747050,69182,0,1171796,94132,0,12936,103264,2626882,500404,455028,163492,1344386,0,68852,263712,132620,273790,62678,1042838,26478,138744,93230,499338,2238592,1367254
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0,72516,0,411700,0,0,0,2865904,0,0,295648,401678,3588236,1768402,0,0,0,0,18859356,15374,5616126,0,0,2483102,0,9646520,14963992,0,93664,2620522,7802,1480468,922540,0,201924,1010190,330198,820490,9425064,5854618,0,0,0,831362,0,182342,2380670,0,0,2056512,15650656,3882196,1049992,177846,1526604,332640,0,621580,0,0,131380,593732,1853596,522,10060766,104046,0,6024640,894322,0,0,0,320390,47354,81712,5122114,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,497954,164208,1411366,136214,0,4587642,0,906826,2559384,1417182,379786,72714,1342920,20806,380920,62754,389048,1193428,1485510,676434,3196436,3379876,2714218,391196,4937406,0,0,1729860,2723104,73526,23412,436658,424592,6584208,418282,0,0,63296,250180,2891668,1003618,2190224,1951730,1001686,48974,5566172,744882,298972,1888792,2576262,3508278,1137944,785788,979394,311210,1853688,10991416,3788622,486574,0,131754,156130,513050,122216,1679266,290858,0,1260068,106314,146970,1249986,5370744,471110,1031508,336900,1410950,27210,707222,1519252,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,2227122,208074,519656,153204,0,4846052,1773116,7991382,1761630,190104,156398,275106,2257354,82426,4315982,6255336,2686622,12365044,678340,1546906,6903978,3033078,2037862,189264,14534390,1573336,6138878,10910338,435644,2783410,21640,1301062,680964,0,2874352,11833514,0,764450,3602586,1702952,1614846,802164,7445334,1904614,403432,254580,140730,108188,628812,5276360,972464,3211170,4054298,2005914,5698478,49658,17977120,6743770,297662,154808,2733876,10126570,14865470,5532386,2450684,391196,0,7803862,163212,826704,468636,2173808,10128858,799736,830974,1134908,9377382,4913214,7533384,454108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,7344,127942,19278,11744,0,0,0,583090,9371568,363936,72478,41570,1048056,6074326,0,0,1565596,0,386910,109330,1468200,0,452220,67252,8287652,0,0,2842410,1271106,245842,15160,952886,820242,676,242214,150792,0,0,1144600,1624090,580446,810790,0,209326,0,0,996930,73970,21900,626440,0,78636,1239554,374536,83500,393638,0,4102462,14036,96308,340792,537682,0,2682,2296128,502372,148464,0,21130,214084,1736,0,321578,0,49538,158942,143702,1638192,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola,11898,982820,0,928988,0,17645266,0,0,0,0,388730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,0,13170018,0,0,0,0,17127046,0,6601060,0,0,0,0,0,0,0,0,0,0,155214,10918574,0,0,0,0,6278936,0,0,0,0,0,0,223130,0,2896026,0,0,0,0,1859796,0,2106954,2206762,0,116038,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprophilus,0,0,0,898952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820460,0,0,0,0,1024064,0,0,0,0,0,0,582992,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei,136170,0,4209144,55646,1652,1730462,0,13858364,11578948,0,70174,0,5341312,0,18499588,1987570,227992,12899630,14160498,4187964,12876280,460,1976726,118264,1844,47744,22372062,4722314,1904,0,0,0,4496396,0,470638,3860738,3297266,0,4667782,15257760,2684490,15610650,5630944,0,951954,0,0,0,273386,9946604,632,9435414,0,722678,102812,19946,8156868,4470106,335694,36104,2111388,405540,0,452520,0,0,0,0,0,6440236,0,0,0,0,1052264,0,4660056,14373602,10001118,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_plebeius,2141092,1171494,0,1043632,0,17277380,2311298,0,0,0,1051048,666698,10081218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433766,0,3598,0,0,0,4675912,2375404,0,13049054,0,0,6120,244,126338,781094,0,1710080,0,0,0,3834972,0,0,0,165754,5766762,0,0,0,378032,0,406728,2807010,3432284,0,0,677042,0,5915812,4774834,8972,0,0,0,0,0,0,801242,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,13620,1332,5132,4866,0,0,0,0,0,0,143510,0,0,0,502202,48226,800802,0,280208,394712,616308,0,0,0,0,172,0,0,0,11410,0,4416,0,0,580458,318534,0,0,0,0,0,342642,0,449304,0,0,0,159250,764398,0,0,0,659480,104074,0,0,0,0,55730,0,177128,37312,0,77134,0,286234,0,0,0,116246,506130,0,0,1210376,1010304,87966,104694,208604,217304,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_SGB15260,0,235642,0,31552,0,0,0,1778464,0,0,52212,0,0,0,0,0,79380,0,0,155708,0,0,0,0,0,0,0,0,0,0,0,0,34220,0,33764,231260,0,9510,0,0,2344,0,0,130524,0,0,0,0,0,0,0,0,0,40470,0,0,0,0,0,0,0,188140,0,390,0,0,0,0,0,0,0,0,603034,0,525836,0,0,0,147636,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_paravirosa,0,0,0,3562,0,754024,0,171736,0,0,0,0,122316,0,0,0,133542,0,0,0,158482,0,0,0,0,0,0,0,179314,0,0,0,3894,0,22674,0,0,0,0,0,0,0,665276,58650,0,50408,0,35508,158018,0,0,0,0,106176,0,2448,0,0,0,35318,0,73852,0,36856,0,0,0,0,48060,0,0,0,0,307350,93812,0,36406,5760,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,40554,251030,25774,88168,0,948724,0,0,222358,3720,196856,241810,173734,0,0,109016,114024,0,129550,135372,294750,0,139106,0,0,0,0,42802,0,0,0,4596,0,0,178296,220304,0,66974,0,0,1764636,251422,788008,442452,4954,0,789248,0,808012,505864,0,107198,972278,50146,293222,0,0,772862,91794,11536,248372,197056,0,70072,0,104514,0,2203456,0,137044,0,0,0,0,527832,235466,95868,48282,726652,237036
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A,0,49392932,1224,16313160,0,0,0,0,0,0,16849606,14555408,0,0,0,0,0,0,0,18579066,0,0,0,0,0,0,0,0,28039816,0,0,224,0,0,24483268,712,0,0,0,0,17968,5846,0,0,0,1532234,0,0,1162,0,776,0,0,21765378,0,0,0,0,14115396,0,14670646,0,0,838054,0,35148716,652,0,0,129766,1837768,146,577402,15109224,339248,0,264764,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_marseillensis,0,0,0,741858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751524,0,0,0,0,0,0,0,1219760,0,0,0,0,0,0,0,2395326,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,0,0,0,2704734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,3029584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097142,10809718,0,0,0,0,0,0,0,0,0,0,2050740,0,878,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis,46636,62604,0,16630,0,0,0,0,0,0,77380,51590,164956,0,0,10084,144854,0,44026,55974,23432,0,0,0,0,568,0,0,229616,0,0,0,0,0,124246,0,0,0,0,219164,0,0,282966,103716,0,0,0,0,580820,107382,0,9952,118228,0,299976,0,0,0,9512,14586,62464,92274,0,465530,0,4176,0,0,25154,179526,0,0,118196,0,100252,57948,320318,0,133850,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0,0,8882,14874,0,1577706,0,444808,0,0,0,18908,0,0,0,0,46940,0,53256,44546,21034,183436,43348,872,0,0,0,0,12584,0,0,0,0,0,0,35248,0,0,8538,0,2892642,0,0,20154,0,0,16912,0,443154,0,0,0,0,0,0,0,0,1656908,47586,0,0,0,0,0,0,96528,76854,360404,0,0,13000,0,1001264,384418,1482264,85404,107106,10866,9376,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,0,16618,36808,27676,0,843202,0,0,1257762,0,1854,29388,0,0,0,49722,86232,0,0,28672,172792,673352,0,32534,0,18756,431422,0,78374,0,968862,0,0,0,38194,682854,0,0,15370,0,435616,6614,2105552,50920,3608,0,481334,121934,7984824,1092698,0,0,300566,7828,22148,0,0,0,5598,0,383812,351022,0,78644,0,21456,0,3179582,0,1373934,23102,0,0,0,419620,26910,49194,4458,204808,1700006
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,33368,33568,1292,122148,0,3317374,0,1905460,0,0,825524,1064644,0,0,799690,0,929416,0,632492,838162,872086,0,0,5376,0,83818,7742,64422,0,0,0,414,0,0,539976,536880,0,0,0,639792,334298,0,1673118,2018780,14450,0,0,0,2109180,15262,0,0,1979480,345598,302682,0,0,4119586,190686,142632,2592,327432,0,135086,0,477932,0,0,89426,524694,19760,0,80098,0,1359760,896,340062,0,2108636,0
